Input_name	Refmet	LipidlynxX	MetaboAnalyst
PC 35:4	PC 35:4	PC(35:4)	PC(35:4)
PC 37:2	PC 37:2	PC(37:2)	PC(37:2)
PC 37:5	PC 37:5	PC(37:5)	PC(37:5)
PC 37:6	PC 37:6	PC(37:6)	PC(15:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
PC 38:5	PC 38:5	PC(38:5)	PC(20:3(8Z,11Z,14Z)/18:2(9Z,12Z))
PC 39:4	PC 39:4	PC(39:4)	PC(39:4)
PC 39:5	PC 39:5	PC(39:5)	PC(39:5)
PC 39:6	PC 39:6	PC(39:6)	PC(39:6)
PC 39:7	PC 39:7	PC(39:7)	PC(39:7)
PC 40:1	PC 40:1	PC(40:1)	PC(18:1(11E)/22:0)
PC 40:2	PC 40:2	PC(40:2)	PC(20:1(11E)/20:1(11E))
PC 40:3	PC 40:3	PC(40:3)	PC(18:0/22:3(10Z,13Z,16Z))
PC 40:5	PC 40:5	PC(40:5)	PC(18:4(6Z,9Z,12Z,15Z)/22:1(11Z))
PC 40:8	PC 40:8	PC(40:8)	PC(40:8)
PC 40:9	PC 40:9	PC(40:9)	PC(40:9)
PC 42:10	PC 42:10	PC(42:10)	PC(42:10)
PC 42:4	PC 42:4	PC(42:4)	PC(20:3(8Z,11Z,14Z)/22:1(11Z))
PC 42:5	PC 42:5	PC(42:5)	PC(20:4(5Z,8Z,11Z,14Z)/22:1(11Z))
PC 42:6	PC 42:6	PC(42:6)	PC(42:6)
PC 42:8	PC 42:8	PC(42:8)	PC(42:8)
PC 42:9	PC 42:9	PC(42:9)	PC(42:9)
PE 16:0_18:1	PE 16:0_18:1	PE(16:0_18:1)	PE(16:0_18:1)
PE 16:0_18:3	PE 16:0_18:3	PE(16:0_18:3)	PE(16:0_18:3)
PE 16:0_20:4	PE 16:0_20:4	PE(16:0_20:4)	PE(16:0_20:4)
PE 16:0_22:5	PE 16:0_22:5	PE(16:0_22:5)	PE(16:0_22:5)
PE 16:0_22:6	PE 16:0_22:6	PE(16:0_22:6)	PE(16:0_22:6)
PE 17:1_20:4	PE 17:1_20:4	PE(17:1_20:4)	PE(17:1_20:4)
PE 18:0_18:1	PE 18:0_18:1	PE(18:0_18:1)	PE(18:0_18:1)
PE 18:0_18:2	PE 18:0_18:2	PE(18:0_18:2)	PE(18:0_18:2)
PE 18:0_20:2	PE 18:0_20:2	PE(18:0_20:2)	PE(18:0_20:2)
PE 18:0_20:3	PE 18:0_20:3	PE(18:0_20:3)	PE(18:0_20:3)
PE 18:0_20:4	PE 18:0_20:4	PE(18:0_20:4)	PE(18:0_20:4)
PE 18:0_22:5	PE 18:0_22:5	PE(18:0_22:5)	PE(18:0_22:5)
PE 18:0_22:6	PE 18:0_22:6	PE(18:0_22:6)	PE(18:0_22:6)
PE 20:0_18:1	PE 18:1_20:0	PE(18:1_20:0)	PE(18:1_20:0)
PE 20:0_18:2	PE 18:2_20:0	PE(18:2_20:0)	PE(18:2_20:0)
PE 20:0_20:3	PE 20:0_20:3	PE(20:0_20:3)	PE(20:0_20:3)
PE 20:0_20:4	PE 20:0_20:4	PE(20:0_20:4)	PE(20:0_20:4)
PE 20:1_18:2	PE 18:2_20:1	PE(18:2_20:1)	PE(18:2_20:1)
PE 20:2_20:4	PE 20:2_20:4	PE(20:2_20:4)	PE(20:2_20:4)
PE 34:1	PE 34:1	PE(34:1)	PE(16:0/18:1(9Z))
PE 34:2	PE 34:2	PE(34:2)	PE(16:0/18:2(9Z,12Z))
PE 36:1	PE 36:1	PE(36:1)	PE(18:0/18:1(7Z))
PE 38:4	PE 38:4	PE(38:4)	PE(18:0/20:4(5Z,8Z,11Z,14Z))
PE 40:2	PE 40:2	PE(40:2)	PE(18:1(9Z)/22:1(11Z))
PI 18:0_18:2	PI 18:0_18:2	PI(18:0_18:2)	PI(18:0_18:2)
PI 18:0_20:3	PI 18:0_20:3	PI(18:0_20:3)	PI(18:0_20:3)
PI 18:0_20:4	PI 18:0_20:4	PI(18:0_20:4)	PI(18:0_20:4)
PI 18:0_22:5	PI 18:0_22:5	PI(18:0_22:5)	PI(18:0_22:5)
PI 26:0	PI 26:0	PI(26:0)	PI(26:0)
PI 32:0	PI 32:0	PI(32:0)	PI(32:0)
PI 34:1	PI 34:1	PI(34:1)	PI(34:1)
PI 38:4	PI 38:4	PI(38:4)	PI(38:4)
PI 38:5	PI 38:5	PI(38:5)	PI(38:5)
PI 40:3	PI 40:3	PI(40:3)	PI(40:3)
SHexCer d34:1	SHexCer 34:1;O2	SHexCer(34:1;O2)	NA
SHexCer d34:2	SHexCer 34:2;O2	SHexCer(34:2;O2)	NA
SM d16:1_24:1	SM 16:1;O2/24:1	SM(16:1;O2/24:1)	NA
SM d17:1_16:0	SM 17:1;O2/16:0	SM(17:1;O2/16:0)	NA
SM d18:1_18:0	SM 18:1;O2/18:0	SM(18:1;O2/18:0)	NA
SM d18:1_23:1	SM 18:1;O2/23:1	SM(18:1;O2/23:1)	NA
SM d18:1_24:1	SM 18:1;O2/24:1	SM(18:1;O2/24:1)	NA
SM d18:1_25:1	SM 18:1;O2/25:1	SM(18:1;O2/25:1)	NA
SM d18:2_18:0	SM 18:2;O2/18:0	SM(18:2;O2/18:0)	NA
SM d18:2_22:0	SM 18:2;O2/22:0	SM(18:2;O2/22:0)	NA
SM d18:2_24:0	SM 18:2;O2/24:0	SM(18:2;O2/24:0)	NA
SM d20:1_14:0	SM 20:1;O2/14:0	SM(20:1;O2/14:0)	NA
SM d30:1	SM 30:1;O2	SM(30:1;O2)	NA
SM d31:1	SM 31:1;O2	SM(31:1;O2)	NA
SM d32:0	SM 32:0;O2	SM(32:0;O2)	NA
SM d32:1	SM 32:1;O2	SM(32:1;O2)	NA
SM d32:2	SM 32:2;O2	SM(32:2;O2)	NA
SM d33:0	SM 33:0;O2	SM(33:0;O2)	NA
SM d33:1	SM 33:1;O2	SM(33:1;O2)	NA
SM d33:2	SM 33:2;O2	SM(33:2;O2)	NA
SM d34:0	SM 34:0;O2	SM(34:0;O2)	NA
SM d34:1	SM 34:1;O2	SM(34:1;O2)	NA
SM d34:2	SM 34:2;O2	SM(34:2;O2)	NA
SM d35:1	SM 35:1;O2	SM(35:1;O2)	NA
SM d35:2	SM 35:2;O2	SM(35:2;O2)	NA
SM d36:0	SM 36:0;O2	SM(36:0;O2)	NA
SM d36:1	SM 36:1;O2	SM(36:1;O2)	NA
SM d36:2	SM 36:2;O2	SM(36:2;O2)	NA
SM d36:3	SM 36:3;O2	SM(36:3;O2)	NA
SM d37:1	SM 37:1;O2	SM(37:1;O2)	NA
SM d37:2	SM 37:2;O2	SM(37:2;O2)	NA
SM d38:0	SM 38:0;O2	SM(38:0;O2)	NA
SM d38:1	SM 38:1;O2	SM(38:1;O2)	NA
SM d38:2	SM 38:2;O2	SM(38:2;O2)	NA
SM d38:3	SM 38:3;O2	SM(38:3;O2)	NA
SM d39:1	SM 39:1;O2	SM(39:1;O2)	NA
SM d39:2	SM 39:2;O2	SM(39:2;O2)	NA
SM d40:0	SM 40:0;O2	SM(40:0;O2)	NA
SM d40:1	SM 40:1;O2	SM(40:1;O2)	NA
SM d40:2	SM 40:2;O2	SM(40:2;O2)	NA
SM d40:3	SM 40:3;O2	SM(40:3;O2)	NA
SM d41:1	SM 41:1;O2	SM(41:1;O2)	NA
SM d41:2	SM 41:2;O2	SM(41:2;O2)	NA
SM d42:0	SM 42:0;O2	SM(42:0;O2)	NA
SM d42:1	SM 42:1;O2	SM(42:1;O2)	NA
SM d42:2	SM 42:2;O2	SM(42:2;O2)	NA
SM d42:3	SM 42:3;O2	SM(42:3;O2)	NA
SM d42:4	SM 42:4;O2	SM(42:4;O2)	NA
SM d42:5	SM 42:5;O2	SM(42:5;O2)	NA
SM d43:1	SM 43:1;O2	SM(43:1;O2)	NA
SM d43:2	SM 43:2;O2	SM(43:2;O2)	NA
SM d44:1	SM 44:1;O2	SM(44:1;O2)	NA
SM d44:2	SM 44:2;O2	SM(44:2;O2)	NA
SM d44:3	SM 44:3;O2	SM(44:3;O2)	NA
TG 12:0_12:0_16:0	TG 12:0_12:0_16:0	TG(12:0_12:0_16:0)	TG(12:0_12:0_16:0)
TG 12:0_14:0_16:0	TG 12:0_14:0_16:0	TG(12:0_14:0_16:0)	TG(12:0_14:0_16:0)
TG 12:0_16:0_20:4	TG 12:0_16:0_20:4	TG(12:0_16:0_20:4)	TG(12:0_16:0_20:4)
TG 12:0_16:0_22:6	TG 12:0_16:0_22:6	TG(12:0_16:0_22:6)	TG(12:0_16:0_22:6)
TG 12:0_16:1_18:1	TG 12:0_16:1_18:1	TG(12:0_16:1_18:1)	TG(12:0_16:1_18:1)
TG 12:0_16:1_18:2	TG 12:0_16:1_18:2	TG(12:0_16:1_18:2)	TG(12:0_16:1_18:2)
TG 12:0_18:2_18:3	TG 12:0_18:2_18:3	TG(12:0_18:2_18:3)	TG(12:0_18:2_18:3)
TG 14:0_15:0_16:0	TG 14:0_15:0_16:0	TG(14:0_15:0_16:0)	TG(14:0_15:0_16:0)
TG 14:0_15:0_16:1	TG 14:0_15:0_16:1	TG(14:0_15:0_16:1)	TG(14:0_15:0_16:1)
TG 14:0_16:0_16:0	TG 14:0_16:0_16:0	TG(14:0_16:0_16:0)	TG(14:0_16:0_16:0)
TG 14:0_16:0_18:1	TG 14:0_16:0_18:1	TG(14:0_16:0_18:1)	TG(14:0_16:0_18:1)
TG 14:0_16:0_22:6	TG 14:0_16:0_22:6	TG(14:0_16:0_22:6)	TG(14:0_16:0_22:6)
TG 14:0_16:1_18:1	TG 14:0_16:1_18:1	TG(14:0_16:1_18:1)	TG(14:0_16:1_18:1)
TG 15:0_16:0_16:0	TG 15:0_16:0_16:0	TG(15:0_16:0_16:0)	TG(15:0_16:0_16:0)
TG 15:0_16:0_18:1	TG 15:0_16:0_18:1	TG(15:0_16:0_18:1)	TG(15:0_16:0_18:1)
TG 15:0_18:1_22:6	TG 15:0_18:1_22:6	TG(15:0_18:1_22:6)	TG(15:0_18:1_22:6)
TG 15:0_18:2_18:3	TG 15:0_18:2_18:3	TG(15:0_18:2_18:3)	TG(15:0_18:2_18:3)
TG 15:1_16:1_16:1	TG 15:1_16:1_16:1	TG(15:1_16:1_16:1)	TG(15:1_16:1_16:1)
TG 15:1_16:1_18:2	TG 15:1_16:1_18:2	TG(15:1_16:1_18:2)	TG(15:1_16:1_18:2)
TG 16:0_16:0_16:0	TG 16:0_16:0_16:0	TG(16:0_16:0_16:0)	TG(16:0_16:0_16:0)
TG 16:0_16:0_17:0	TG 16:0_16:0_17:0	TG(16:0_16:0_17:0)	TG(16:0_16:0_17:0)
TG 16:0_16:0_18:1	TG 16:0_16:0_18:1	TG(16:0_16:0_18:1)	TG(16:0_16:0_18:1)
TG 16:0_16:0_22:6	TG 16:0_16:0_22:6	TG(16:0_16:0_22:6)	TG(16:0_16:0_22:6)
TG 16:0_16:1_18:1	TG 16:0_16:1_18:1	TG(16:0_16:1_18:1)	TG(16:0_16:1_18:1)
TG 16:0_16:1_22:6	TG 16:0_16:1_22:6	TG(16:0_16:1_22:6)	TG(16:0_16:1_22:6)
TG 16:0_17:0_18:0	TG 16:0_17:0_18:0	TG(16:0_17:0_18:0)	TG(16:0_17:0_18:0)
TG 16:0_17:0_18:1	TG 16:0_17:0_18:1	TG(16:0_17:0_18:1)	TG(16:0_17:0_18:1)
TG 16:0_17:1_18:1	TG 16:0_17:1_18:1	TG(16:0_17:1_18:1)	TG(16:0_17:1_18:1)
TG 16:0_17:1_18:2	TG 16:0_17:1_18:2	TG(16:0_17:1_18:2)	TG(16:0_17:1_18:2)
TG 16:0_18:0_18:1	TG 16:0_18:0_18:1	TG(16:0_18:0_18:1)	TG(16:0_18:0_18:1)
TG 16:0_18:1_18:1	TG 16:0_18:1_18:1	TG(16:0_18:1_18:1)	TG(16:0_18:1_18:1)
TG 16:0_18:1_18:2	TG 16:0_18:1_18:2	TG(16:0_18:1_18:2)	TG(16:0_18:1_18:2)
TG 16:0_18:1_20:4	TG 16:0_18:1_20:4	TG(16:0_18:1_20:4)	TG(16:0_18:1_20:4)
TG 16:0_18:1_22:4	TG 16:0_18:1_22:4	TG(16:0_18:1_22:4)	TG(16:0_18:1_22:4)
TG 16:0_18:1_22:6	TG 16:0_18:1_22:6	TG(16:0_18:1_22:6)	TG(16:0_18:1_22:6)
TG 16:0_18:2_20:4	TG 16:0_18:2_20:4	TG(16:0_18:2_20:4)	TG(16:0_18:2_20:4)
TG 16:0_18:2_22:6	TG 16:0_18:2_22:6	TG(16:0_18:2_22:6)	TG(16:0_18:2_22:6)
TG 16:0_20:4_22:6	TG 16:0_20:4_22:6	TG(16:0_20:4_22:6)	TG(16:0_20:4_22:6)
TG 16:1_18:2_18:3	TG 16:1_18:2_18:3	TG(16:1_18:2_18:3)	TG(16:1_18:2_18:3)
TG 17:0_18:0_18:1	TG 17:0_18:0_18:1	TG(17:0_18:0_18:1)	TG(17:0_18:0_18:1)
TG 17:0_18:1_18:1	TG 17:0_18:1_18:1	TG(17:0_18:1_18:1)	TG(17:0_18:1_18:1)
TG 17:1_18:1_18:1	TG 17:1_18:1_18:1	TG(17:1_18:1_18:1)	TG(17:1_18:1_18:1)
TG 17:1_18:1_18:2	TG 17:1_18:1_18:2	TG(17:1_18:1_18:2)	TG(17:1_18:1_18:2)
TG 18:0_18:0_18:0	TG 18:0/18:0/18:0	TG(18:0/18:0/18:0)	TG(18:0/18:0/18:0)
TG 18:0_18:0_20:4	TG 18:0_18:0_20:4	TG(18:0_18:0_20:4)	TG(18:0_18:0_20:4)
TG 18:0_18:1_18:2	TG 18:0_18:1_18:2	TG(18:0_18:1_18:2)	TG(18:0_18:1_18:2)
TG 18:0_18:1_20:3	TG 18:0_18:1_20:3	TG(18:0_18:1_20:3)	TG(18:0_18:1_20:3)
TG 18:0_18:1_20:4	TG 18:0_18:1_20:4	TG(18:0_18:1_20:4)	TG(18:0_18:1_20:4)
TG 18:1_18:1_18:1	TG 18:1_18:1_18:1	TG(18:1_18:1_18:1)	TG(18:1_18:1_18:1)
TG 18:1_18:1_20:1	TG 18:1_18:1_20:1	TG(18:1_18:1_20:1)	TG(18:1_18:1_20:1)
TG 18:1_18:1_21:0	TG 18:1_18:1_21:0	TG(18:1_18:1_21:0)	TG(18:1_18:1_21:0)
TG 18:1_18:1_22:0	TG 18:1_18:1_22:0	TG(18:1_18:1_22:0)	TG(18:1_18:1_22:0)
TG 18:1_18:1_22:1	TG 18:1_18:1_22:1	TG(18:1_18:1_22:1)	TG(18:1_18:1_22:1)
TG 18:1_18:1_22:4	TG 18:1_18:1_22:4	TG(18:1_18:1_22:4)	TG(18:1_18:1_22:4)
TG 18:1_18:2_20:4	TG 18:1_18:2_20:4	TG(18:1_18:2_20:4)	TG(18:1_18:2_20:4)
TG 18:1_18:2_22:6	TG 18:1_18:2_22:6	TG(18:1_18:2_22:6)	TG(18:1_18:2_22:6)
TG 18:1_22:6_22:6	TG 18:1_22:6_22:6	TG(18:1_22:6_22:6)	TG(18:1_22:6_22:6)
TG 43:0	TG 43:0	TG(43:0)	TG(43:0)
TG 44:0	TG 44:0	TG(44:0)	TG(44:0)
TG 44:1	TG 44:1	TG(44:1)	TG(44:1)
TG 45:1	TG 45:1	TG(45:1)	TG(45:1)
TG 46:1	TG 46:1	TG(46:1)	TG(46:1)
TG 46:2	TG 46:2	TG(46:2)	TG(46:2)
TG 46:3	TG 46:3	TG(46:3)	TG(46:3)
TG 47:0	TG 47:0	TG(47:0)	TG(47:0)
TG 47:1	TG 47:1	TG(47:1)	TG(47:1)
TG 47:3	TG 47:3	TG(47:3)	TG(47:3)
TG 48:1	TG 48:1	TG(48:1)	TG(16:0/16:0/16:1(9Z))
TG 48:2	TG 48:2	TG(48:2)	TG(16:0/16:1(9Z)/16:1(9Z))
TG 48:3	TG 48:3	TG(48:3)	TG(16:1(9Z)/16:1(9Z)/16:1(9Z))
TG 48:4	TG 48:4	TG(48:4)	TG(48:4)
TG 49:1	TG 49:1	TG(49:1)	TG(49:1)
TG 49:2	TG 49:2	TG(49:2)	TG(49:2)
TG 49:3	TG 49:3	TG(49:3)	TG(49:3)
TG 50:2	TG 50:2	TG(50:2)	TG(16:1(9Z)/16:1(9Z)/18:0)
TG 50:3	TG 50:3	TG(50:3)	TG(16:1(9Z)/16:1(9Z)/18:1(9Z))
TG 50:4	TG 50:4	TG(50:4)	TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z))
TG 50:5	TG 50:5	TG(50:5)	TG(50:5)
TG 51:1	TG 51:1	TG(51:1)	TG(51:1)
TG 51:2	TG 51:2	TG(51:2)	TG(51:2)
TG 51:3	TG 51:3	TG(51:3)	TG(51:3)
TG 51:4	TG 51:4	TG(51:4)	TG(51:4)
TG 52:3	TG 52:3	TG(52:3)	TG(52:3)
TG 52:4	TG 52:4	TG(52:4)	TG(16:1(9Z)/18:1(9Z)/18:2(9Z,12Z))
TG 52:5	TG 52:5	TG(52:5)	TG(16:1(9Z)/18:2(9Z,12Z)/18:2(9Z,12Z))
TG 52:6	TG 52:6	TG(52:6)	TG(52:6)
TG 53:0	TG 53:0	TG(53:0)	TG(53:0)
TG 53:2	TG 53:2	TG(53:2)	TG(17:2(9Z,12Z)/18:0/18:0)
TG 53:3	TG 53:3	TG(53:3)	TG(53:3)
TG 53:4	TG 53:4	TG(53:4)	TG(53:4)
TG 53:5	TG 53:5	TG(53:5)	TG(53:5)
TG 54:3	TG 54:3	TG(54:3)	TG(18:1(9Z)/18:1(9Z)/18:1(9Z))
TG 54:4	TG 54:4	TG(54:4)	TG(54:4)
TG 54:5	TG 54:5	TG(54:5)	TG(18:1(9Z)/18:1(9Z)/18:3(9Z,12Z,15Z))
TG 54:7	TG 54:7	TG(54:7)	TG(54:7)
TG 55:1	TG 55:1	TG(55:1)	TG(55:1)
TG 56:1	TG 56:1	TG(56:1)	TG(18:0/18:1(9Z)/20:0)
TG 56:3	TG 56:3	TG(56:3)	TG(18:1(9Z)/18:1(9Z)/20:1(11Z))
TG 56:4	TG 56:4	TG(56:4)	TG(18:1(9Z)/18:2(9Z,12Z)/20:1(11Z))
TG 56:5	TG 56:5	TG(56:5)	TG(18:2(9Z,12Z)/18:2(9Z,12Z)/20:1(11Z))
TG 56:6	TG 56:6	TG(56:6)	TG(18:2(9Z,12Z)/18:2(9Z,12Z)/20:2(11Z,14Z))
TG 56:7	TG 56:7	TG(56:7)	TG(18:2(9Z,12Z)/18:2(9Z,12Z)/20:3(8Z,11Z,14Z))
TG 56:8	TG 56:8	TG(56:8)	TG(56:8)
TG 58:10	TG 58:10	TG(58:10)	TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))
TG 58:6	TG 58:6	TG(58:6)	TG(18:1(9Z)/20:1(11Z)/20:4(5Z,8Z,11Z,14Z))
TG 58:8	TG 58:8	TG(58:8)	TG(18:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))
TG 58:9	TG 58:9	TG(58:9)	TG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))
TG 60:11	TG 60:11	TG(60:11)	TG(60:11)
TG 60:12	TG 60:12	TG(60:12)	TG(60:12)
PC 17:0_18:2	PC 17:0_18:2	PC(17:0_18:2)	PC(17:0_18:2)
PC 18:0_18:1	PC 18:0_18:1	PC(18:0_18:1)	PC(18:0_18:1)
PC 18:0_22:5	PC 18:0_22:5	PC(18:0_22:5)	PC(18:0_22:5)
PC 18:1_20:3	PC 18:1_20:3	PC(18:1_20:3)	PC(18:1_20:3)
PC 18:1_20:4	PC 18:1_20:4	PC(18:1_20:4)	PC(18:1_20:4)
PC 20:1_18:2	PC 18:2_20:1	PC(18:2_20:1)	PC(18:2_20:1)